單字,中文定義,星級,難度等級,分類,詞性,【詞性變化】,搭配詞,例句
radar,雷達，一種利用無線電波探測物體位置和距離的系統，常用於交通、物流和安全監控。,3,中階,科技與技術支援,noun,"noun: radar, radars",,"The shipping company uses radar technology to track the location of its cargo containers.
這家運輸公司使用雷達技術來追蹤貨櫃的位置。"
radiate,散發（熱、光、氣味等）；傳播（影響、情感等）,2,進階,營運管理,verb,"verb: radiate, radiates, radiating, radiated",,"The new office building radiates a modern and professional image.
這棟新辦公大樓散發著現代且專業的形象。"
radiation,輻射；放射線；放射物；放射療法,2,進階,科技與技術支援,noun,"noun: radiation, radiations",,"The hospital uses radiation therapy to treat certain types of cancer.
醫院使用放射線療法治療某些類型的癌症。"
radical,激進的；根本的；徹底的；極端的 (adj.) 激進分子；基數；根號 (n.),3,進階,一般專業,"adjective, noun","adjective: radical, more radical, most radical
noun: radical, radicals",,"The company is planning a radical change to its marketing strategy.
公司正計畫對其行銷策略進行徹底的改革。"
radically,徹底地；根本地；大幅度地（表示改變或不同程度的變化）,3,中階,營運管理,adverb,adverb: radically,radically different approach 截然不同的方法,"The company decided to radically restructure its operations to improve efficiency.
公司決定徹底重組其營運，以提高效率。"
radio,無線電；廣播（設備或媒體）,5,入門,行銷與銷售,noun,"noun: radio, radios","radio station 廣播電台
radio advertisement 廣播廣告","Our marketing team uses radio advertising to reach a wider audience.
我們的行銷團隊使用廣播廣告來接觸更廣泛的受眾。"
radius,半徑；橈骨；輻射範圍；活動範圍,2,進階,科技與技術支援,noun,"noun: radii, radiuses","proximity 接近
vicinity 鄰近","The radius of the Earth is approximately 6,371 kilometers.
地球的半徑大約是6,371公里。"
raffle,摸彩活動；抽獎,3,中階,行銷與銷售,"noun, verb","noun: raffle, raffles
verb: raffle, raffles, raffling, raffled","enter a raffle 參加抽獎
raffle ticket 抽獎券","The company is holding a raffle to raise money for charity.
公司正在舉辦摸彩活動以募集慈善捐款。"
rage,狂怒；盛怒；暴怒；怒不可遏；猛烈發怒；肆虐,2,進階,溝通互動,"noun, verb","noun: rage
verb: rage, rages, raged, raging",,"His face was contorted with rage after he heard the news.
聽到這個消息後，他氣得臉部扭曲變形。"
raid,突擊檢查；搜查（通常指未經通知或突然進行的檢查或搜查，用於發現違規行為或非法物品）,2,進階,法務合規與安全,"verb, noun","verb: raid, raids, raiding, raided
noun: raid, raids",,"Customs officials conducted a surprise raid on the warehouse to check for smuggled goods.
海關人員突擊搜查了倉庫，以檢查是否有走私貨物。"
rail,軌道；鐵軌；（比喻）限制、束縛,4,基礎,旅遊與交通,"noun, verb","noun: rail, rails
verb: rail, rails, railing, railed","by rail 經由鐵路
rail travel 鐵路旅遊","The train was delayed due to a problem with the rails.
由於鐵軌出現問題，火車延誤了。"
railway,鐵路系統；鐵道網絡,4,基礎,旅遊與交通,noun,"noun: railway, railways","railway station 火車站
railway network 鐵路網","The company is investing heavily in upgrading the railway network to improve efficiency.
公司正在大力投資鐵路網絡的升級，以提高效率。"
rain,降雨；雨水,5,入門,辦公日常,"noun, verb","noun: rain, rains
verb: rain, rains, raining, rained",,"The meeting has been postponed due to heavy rain.
由於大雨，會議已延遲。"
raincoat,雨衣；防水外套,5,入門,辦公日常,noun,"noun: raincoat, raincoats",,"The company provides employees with raincoats for outdoor deliveries during the rainy season.
公司在雨季為從事戶外派送工作的員工提供雨衣。"
rainfall,降雨量; 雨量,3,中階,一般專業,noun,noun: rainfalls,"heavy rainfall 豪大雨
annual rainfall 年降雨量","The region experienced record rainfall last month.
該地區上個月經歷了創紀錄的降雨量。"
rains,降雨；下雨,5,基礎,旅遊與交通,verb,"verb: rains, raining, rained","heavy rains 大雨
torrential rains 豪雨","The flight has been delayed due to heavy rains in the area.
由於該地區降雨量大，航班已延誤。"
rainstorm,暴風雨；強烈降雨，通常伴隨雷電和強風。,3,基礎,營運管理,noun,"noun: rainstorm, rainstorms","severe rainstorm 強烈的暴雨
unexpected rainstorm 突如其來的暴雨","Due to the unexpected rainstorm, the outdoor event has been postponed until next week.
由於突如其來的暴風雨，戶外活動已延遲至下週舉行。"
rainy,多雨的；下雨的,5,入門,旅遊與交通,adjective,"adjective: rainy, rainier, rainiest","rainy season 雨季
rainy 下雨的","The flight was delayed due to the rainy weather conditions.
由於多雨的天氣狀況，航班延誤了。"
raise,提升；提高；舉起；引起（話題）,5,基礎,辦公日常,verb,"verb: raise, raises, raising, raised",asking for a raise 要求加薪,"The company decided to raise salaries by 5% to retain top talent.
為了留住優秀人才，公司決定將薪資提高 5%。"
raised,（物體）抬高；（價格、薪資等）提高；（孩子）養育,5,基礎,營運管理,"verb, adjective","verb: raised, raises, raising
adjective: raised, higher, highest",,"The company raised prices by 5% due to increased production costs.
由於生產成本增加，公司將價格提高了 5%。"
raising,提升、提高（價格、薪資、標準等）；培養、撫養（子女）,4,基礎,人力資源,"verb, adjective","verb: raising, raises, raised
adjective: raising, higher, highest",,"The company is raising salaries by 5% to retain top talent.
為了留住優秀人才，公司將調薪 5%。"
rally,聚集；集結；反彈（價格、銷售額等）,3,中階,行銷與銷售,"noun, verb","noun: rally, rallies
verb: rally, rallies, rallying, rallied","pep rally 誓師大會
political rally 政治集會","Despite the initial setback, the sales team managed to rally and exceed their quarterly target.
儘管一開始遇到挫折，銷售團隊還是成功集結並超額完成季度目標。"
rama,框架；結構；邊框,1,精熟,營運管理,noun,"noun: rama, ramas","panorama 全景
diorama 透視模型","The company is restructuring its operational framework to improve efficiency.
公司正在重組其營運框架以提高效率。"
ramon,拉麵；一種日本麵食，通常以湯頭為基底，加入肉、蔬菜等配料。,1,入門,住宿與餐飲,noun,"noun: ramon, ramen",,"The company cafeteria will offer ramen as a new lunch option starting next week.
公司食堂將從下週開始提供拉麵作為新的午餐選擇。"
ramp,斜坡；坡道，通常用於方便無障礙通行或貨物運輸。,4,中階,採購與物流,noun,"noun: ramp, ramps",,"The warehouse is equipped with a loading ramp for efficient truck access.
該倉庫配備了貨物坡道，方便卡車高效地進出。"
ranch,牧場；大型農場（通常指畜牧業或耕種的農場）,2,進階,營運管理,noun,"noun: ranch, ranches","cattle ranch 牧牛場
ranch hand 牧場工人","The company is looking for a supplier of organic beef from a reputable ranch.
公司正在尋找一家信譽良好的牧場提供的有機牛肉供應商。"
random,隨機的；任意的；無規則的；胡亂的；偶然的。在電腦科學、統計學、數學等領域中，通常指沒有特定模式或可預測性的事件或序列。,4,基礎,一般專業,"adjective, noun","adjective: random, more random, most random, randomly, randomness
noun: random, randoms","at random 隨機地
random sampling 隨機抽樣","The results of the survey were based on a random sample of 1,000 participants.
這項調查的結果是基於對1,000名參與者的隨機抽樣。"
randomize,隨機化; 隨機排列,2,進階,科技與技術支援,verb,"verb: randomize, randomizes, randomized, randomizing
noun: randomization","randomize the order 隨機化順序
randomize the selection 隨機抽樣","It's important to randomize the samples to ensure unbiased results in the experiment.
在實驗中，將樣本隨機化很重要，以確保結果沒有偏差。"
randomly,隨機地；不按特定順序或模式,4,中階,辦公日常,adverb,adverb: randomly,"randomly selected 隨機挑選
randomly assigned 隨機分配","The survey participants were selected randomly from the company's database.
調查參與者是從公司資料庫中隨機選取的。"
